LINHA 1: KEYWORD(inicio)
LINHA 2: KEYWORD(funcao)
LINHA 2: KEYWORD(real)
LINHA 2: IDENTIFIER(media)
LINHA 2: LPAREN(()
LINHA 2: KEYWORD(real)
LINHA 2: IDENTIFIER(a)
LINHA 2: SEMICOLON(;)
LINHA 2: KEYWORD(real)
LINHA 2: IDENTIFIER(b)
LINHA 2: RPAREN())
LINHA 2: LBRACE({)
LINHA 3: KEYWORD(retorne)
LINHA 3: LPAREN(()
LINHA 3: IDENTIFIER(a)
LINHA 3: PLUS(+)
LINHA 3: IDENTIFIER(b)
LINHA 3: RPAREN())
LINHA 3: DIVIDE(/)
LINHA 3: REAL(2,0)
LINHA 3: DOLLAR($)
LINHA 4: RBRACE(})
LINHA 5: KEYWORD(funcao)
LINHA 5: KEYWORD(booleano)
LINHA 5: IDENTIFIER(passou)
LINHA 5: LPAREN(()
LINHA 5: KEYWORD(real)
LINHA 5: IDENTIFIER(m)
LINHA 5: RPAREN())
LINHA 5: LBRACE({)
LINHA 6: KEYWORD(se)
LINHA 6: LBRACKET([)
LINHA 6: IDENTIFIER(m)
LINHA 6: GREATER_EQUAL(>=)
LINHA 6: REAL(6,0)
LINHA 6: RBRACKET(])
LINHA 6: KEYWORD(faz)
LINHA 6: LBRACE({)
LINHA 7: KEYWORD(retorne)
LINHA 7: KEYWORD(sim)
LINHA 7: DOLLAR($)
LINHA 8: RBRACE(})
LINHA 9: KEYWORD(retorne)
LINHA 9: KEYWORD(nao)
LINHA 9: DOLLAR($)
LINHA 10: RBRACE(})
LINHA 11: KEYWORD(real)
LINHA 11: IDENTIFIER(p1)
LINHA 11: DOLLAR($)
LINHA 12: KEYWORD(real)
LINHA 12: IDENTIFIER(p2)
LINHA 12: DOLLAR($)
LINHA 13: KEYWORD(real)
LINHA 13: IDENTIFIER(m)
LINHA 13: DOLLAR($)
LINHA 14: KEYWORD(booleano)
LINHA 14: IDENTIFIER(ok)
LINHA 14: DOLLAR($)
LINHA 15: KEYWORD(mostre)
LINHA 15: LPAREN(()
LINHA 15: STRING(’Digite a primeira nota: ’)
LINHA 15: RPAREN())
LINHA 15: DOLLAR($)
LINHA 16: KEYWORD(leia)
LINHA 16: LPAREN(()
LINHA 16: IDENTIFIER(p1)
LINHA 16: RPAREN())
LINHA 16: DOLLAR($)
LINHA 17: KEYWORD(mostre)
LINHA 17: LPAREN(()
LINHA 17: STRING(’Digite a segunda nota: ’)
LINHA 17: RPAREN())
LINHA 17: DOLLAR($)
LINHA 18: KEYWORD(leia)
LINHA 18: LPAREN(()
LINHA 18: IDENTIFIER(p2)
LINHA 18: RPAREN())
LINHA 18: DOLLAR($)
LINHA 19: IDENTIFIER(m)
LINHA 19: ASSIGN(=)
LINHA 19: IDENTIFIER(media)
LINHA 19: LPAREN(()
LINHA 19: IDENTIFIER(p1)
LINHA 19: SEMICOLON(;)
LINHA 19: IDENTIFIER(p2)
LINHA 19: RPAREN())
LINHA 19: DOLLAR($)
LINHA 20: IDENTIFIER(ok)
LINHA 20: ASSIGN(=)
LINHA 20: IDENTIFIER(passou)
LINHA 20: LPAREN(()
LINHA 20: IDENTIFIER(m)
LINHA 20: RPAREN())
LINHA 20: DOLLAR($)
LINHA 21: KEYWORD(mostre)
LINHA 21: LPAREN(()
LINHA 21: STRING(’Media: ’)
LINHA 21: RPAREN())
LINHA 21: DOLLAR($)
LINHA 22: KEYWORD(mostre)
LINHA 22: LPAREN(()
LINHA 22: IDENTIFIER(m)
LINHA 22: RPAREN())
LINHA 22: DOLLAR($)
LINHA 23: IDENTIFIER(ok)
LINHA 23: ASSIGN(=)
LINHA 23: IDENTIFIER(passou)
LINHA 23: LPAREN(()
LINHA 23: REAL(7,5)
LINHA 23: RPAREN())
LINHA 23: DOLLAR($)
LINHA 24: KEYWORD(se)
LINHA 24: LBRACKET([)
LINHA 24: IDENTIFIER(ok)
LINHA 24: EQUAL(==)
LINHA 24: KEYWORD(sim)
LINHA 24: RBRACKET(])
LINHA 24: KEYWORD(faz)
LINHA 24: LBRACE({)
LINHA 25: KEYWORD(mostre)
LINHA 25: LPAREN(()
LINHA 25: STRING(’Situacao: aprovado’)
LINHA 25: RPAREN())
LINHA 25: DOLLAR($)
LINHA 26: RBRACE(})
LINHA 26: KEYWORD(senao)
LINHA 26: LBRACE({)
LINHA 27: KEYWORD(mostre)
LINHA 27: LPAREN(()
LINHA 27: STRING(’Situacao: reprovado’)
LINHA 27: RPAREN())
LINHA 27: DOLLAR($)
LINHA 28: RBRACE(})
LINHA 29: KEYWORD(fim)
