LINHA 1: KEYWORD(inicio)
LINHA 2: KEYWORD(texto)
LINHA 2: IDENTIFIER(nome)
LINHA 2: DOLLAR($)
LINHA 3: KEYWORD(real)
LINHA 3: IDENTIFIER(nota1)
LINHA 3: DOLLAR($)
LINHA 4: KEYWORD(real)
LINHA 4: IDENTIFIER(nota2)
LINHA 4: DOLLAR($)
LINHA 5: KEYWORD(real)
LINHA 5: IDENTIFIER(nota3)
LINHA 5: DOLLAR($)
LINHA 6: KEYWORD(real)
LINHA 6: IDENTIFIER(media)
LINHA 6: DOLLAR($)
LINHA 7: KEYWORD(inteiro)
LINHA 7: IDENTIFIER(faltas)
LINHA 7: DOLLAR($)
LINHA 8: KEYWORD(booleano)
LINHA 8: IDENTIFIER(aprovado)
LINHA 8: DOLLAR($)
LINHA 9: IDENTIFIER(nome)
LINHA 9: ASSIGN(=)
LINHA 9: STRING(’Carlos’)
LINHA 9: DOLLAR($)
LINHA 10: IDENTIFIER(nota1)
LINHA 10: ASSIGN(=)
LINHA 10: REAL(8,5)
LINHA 10: DOLLAR($)
LINHA 11: IDENTIFIER(nota2)
LINHA 11: ASSIGN(=)
LINHA 11: REAL(7,0)
LINHA 11: DOLLAR($)
LINHA 12: IDENTIFIER(nota3)
LINHA 12: ASSIGN(=)
LINHA 12: REAL(9,0)
LINHA 12: DOLLAR($)
LINHA 13: IDENTIFIER(faltas)
LINHA 13: ASSIGN(=)
LINHA 13: INTEGER(3)
LINHA 13: DOLLAR($)
LINHA 14: IDENTIFIER(media)
LINHA 14: ASSIGN(=)
LINHA 14: LPAREN(()
LINHA 14: IDENTIFIER(nota1)
LINHA 14: PLUS(+)
LINHA 14: IDENTIFIER(nota2)
LINHA 14: PLUS(+)
LINHA 14: IDENTIFIER(nota3)
LINHA 14: RPAREN())
LINHA 14: DIVIDE(/)
LINHA 14: REAL(3,0)
LINHA 14: DOLLAR($)
LINHA 15: IDENTIFIER(aprovado)
LINHA 15: ASSIGN(=)
LINHA 15: KEYWORD(nao)
LINHA 15: DOLLAR($)
LINHA 16: KEYWORD(se)
LINHA 16: LBRACKET([)
LINHA 16: IDENTIFIER(media)
LINHA 16: GREATER_EQUAL(>=)
LINHA 16: REAL(7,0)
LINHA 16: AND(&&)
LINHA 16: IDENTIFIER(faltas)
LINHA 16: LESS_EQUAL(<=)
LINHA 16: INTEGER(10)
LINHA 16: RBRACKET(])
LINHA 16: KEYWORD(faz)
LINHA 16: LBRACE({)
LINHA 17: IDENTIFIER(aprovado)
LINHA 17: ASSIGN(=)
LINHA 17: KEYWORD(sim)
LINHA 17: DOLLAR($)
LINHA 18: KEYWORD(mostre)
LINHA 18: LPAREN(()
LINHA 18: STRING(’Aluno aprovado.’)
LINHA 18: RPAREN())
LINHA 18: DOLLAR($)
LINHA 19: KEYWORD(mostre)
LINHA 19: LPAREN(()
LINHA 19: IDENTIFIER(nome)
LINHA 19: RPAREN())
LINHA 19: DOLLAR($)
LINHA 20: KEYWORD(mostre)
LINHA 20: LPAREN(()
LINHA 20: IDENTIFIER(media)
LINHA 20: RPAREN())
LINHA 20: DOLLAR($)
LINHA 21: RBRACE(})
LINHA 21: KEYWORD(senao)
LINHA 21: LBRACE({)
LINHA 22: IDENTIFIER(aprovado)
LINHA 22: ASSIGN(=)
LINHA 22: KEYWORD(nao)
LINHA 22: DOLLAR($)
LINHA 23: KEYWORD(mostre)
LINHA 23: LPAREN(()
LINHA 23: STRING(’Aluno reprovado.’)
LINHA 23: RPAREN())
LINHA 23: DOLLAR($)
LINHA 24: KEYWORD(mostre)
LINHA 24: LPAREN(()
LINHA 24: IDENTIFIER(nome)
LINHA 24: RPAREN())
LINHA 24: DOLLAR($)
LINHA 25: KEYWORD(mostre)
LINHA 25: LPAREN(()
LINHA 25: IDENTIFIER(media)
LINHA 25: RPAREN())
LINHA 25: DOLLAR($)
LINHA 26: RBRACE(})
LINHA 27: KEYWORD(se)
LINHA 27: LBRACKET([)
LINHA 27: IDENTIFIER(media)
LINHA 27: EQUAL(==)
LINHA 27: REAL(10,0)
LINHA 27: OR(||)
LINHA 27: IDENTIFIER(faltas)
LINHA 27: EQUAL(==)
LINHA 27: INTEGER(0)
LINHA 27: RBRACKET(])
LINHA 27: KEYWORD(faz)
LINHA 27: LBRACE({)
LINHA 28: KEYWORD(mostre)
LINHA 28: LPAREN(()
LINHA 28: STRING(’Excelente resultado!’)
LINHA 28: RPAREN())
LINHA 28: DOLLAR($)
LINHA 29: RBRACE(})
LINHA 30: KEYWORD(se)
LINHA 30: LBRACKET([)
LINHA 30: NOT(!)
LINHA 30: IDENTIFIER(aprovado)
LINHA 30: AND(&&)
LINHA 30: IDENTIFIER(media)
LINHA 30: GREATER(>)
LINHA 30: REAL(0,0)
LINHA 30: RBRACKET(])
LINHA 30: KEYWORD(faz)
LINHA 30: LBRACE({)
LINHA 31: KEYWORD(mostre)
LINHA 31: LPAREN(()
LINHA 31: STRING(’Verificar recuperacao.’)
LINHA 31: RPAREN())
LINHA 31: DOLLAR($)
LINHA 32: RBRACE(})
LINHA 33: KEYWORD(fim)
